//formule de calcul de distance
//SELECT id,nom, ( 6371 * acos( cos( radians(latitude_pt_reference) ) * cos( radians( lat ) ) * cos( radians( lng ) - radians(longitude_pt_reference) ) + sin( radians(latitude_pt_reference) ) * sin( radians( lat ) ) ) ) AS distance FROM communes HAVING distance < 10
//autre formulation
//SELECT *,
 
6371 * 2 * ASIN(SQRT( POWER(SIN((latitude_pt_reference -
abs( 
dest.lat)) * pi()/180 / 2),2) + COS(latitude_pt_reference * pi()/180 ) * COS( 
abs
(dest.lat) *  pi()/180) * POWER(SIN((longitude_pt_reference – dest.lon) *  pi()/180 / 2), 2) ))
 
as distanceFROM hotels desthaving distance < @distORDER BY distance limit 10

//utilisation d'un carré

SET lon1 = mylon - dist/abs(cos(radians(mylat))*111.1);
SET lon2 =mylon+dist/abs(cos(radians(mylat))*111.1);
SET lat1 =mylat -(dist/111.1);
SET lat 2=mylat+(dist/111.1);

SELECT communes.*,
6371 *2 *ASIN (SQRT(POWER(SIN(RADIANS(latitude_pt_reference-communes.lat))),2)
+COS (RADIANS(latitude_pt_reference))+COS(RADIANS(communes.lat))*
POWER(SIN(RADIANS(longitude_pt_reference-communes.lng)),2) as distance
FROM communes
WHERE communes.lng BETWEEN lon1 and lon2
AND communes.lat BETWEEN lat1 and lat2
// moins precis mais plus rapide (enfin, pas vraiment sur l'échantillon utilisé) 
// SELECT id,nom, 6371*SQRT((lng-longitude_pt_reference) *cos(radians(lat+latitude_pt_reference)/2)*(lng-longitude_pt_reference) *cos(lat+latitude_pt_reference)/2) +((lat-latitude_pt_reference)*(lat-latitude_pt_reference))) as distance FROM communes HAVING distance <10
//convertir en radians
SELECT id,nom, 6371*SQRT((radians(lng)- radians(5.03791)) *cos(radians(lat)+ radians(43.8371)/2)*(radians(lng)- radians(5.03791)) *cos(radians(lat)+ radians(43.8371)/2) +((radians(lat)- radians(43.8371))*(radians(lat)- radians(43.8371)))) as distance FROM communes HAVING distance <5
SAINT-AYGULF;43.433152;6.737034;4;1;Fréjus
Alpes de Haute-Provence;44.0778716;6.2375947;3;1;Alpes-de-Haute-Provence
MONTFAVET;43.9280929;4.886974;4;1;Montfavet, 84140 Morières-lès-Avignon
QUINSON;43.700617;6.038878;4;1;Quinson
CHATEAUNEUF-VILLEVIEILLE;43.808771;7.296411;4;1;Châteauneuf-Villevieille
CADEROUSSE;44.102091;4.756496;4;1;Caderousse
TRAVAILLAN;44.18192;4.901087;4;1;Travaillan
CAMARET-SUR-AIGUES;44.164167;4.873128;4;1;Camaret-sur-Aigues
LAPALUD;44.30412;4.688778;4;1;Lapalud
LAMOTTE-DU-RHONE;44.265453;4.680082;4;1;Lamotte-du-Rhône
SERIGNAN-DU-COMTAT;44.18884;4.844677;4;1;Sérignan-du-Comtat
VISAN;44.313997;4.950985;4;1;Visan
AUBIGNAN;44.0993799;5.024744;4;1;Aubignan
SAUMANE-DE-VAUCLUSE;43.935706;5.105963;4;1;Saumane-de-Vaucluse
LAGNES;43.893979;5.114628;4;1;Lagnes
L'ISLE-SUR-LA-SORGUE;43.91419;5.057106;4;1;L'Isle-sur-la-Sorgue
FONTAINE-DE-VAUCLUSE;43.922443;5.126884;4;1;84800 Fontaine-de-Vaucluse
SAINT-MARTIN-DE-LA-BRASQUE;43.769494;5.535993;4;1;84240 Saint-Martin-de-la-Brasque
VIENS;43.895473;5.566641;4;1;Viens
SAINT-MARTIN-DE-CASTILLON;43.85986;5.511188;4;1;Saint-Martin-de-Castillon
VELLERON;43.95647;5.029955;4;1;Velleron
SORGUES;44.008767;4.872757;4;1;Sorgues
MAUBEC;43.848269;5.143194;4;5;Maubec
VALREAS;44.383724;4.989187;4;1;Valréas
RICHERENCHES;44.359733;4.911358;4;1;Richerenches
GRILLON;44.395034;4.929108;4;1;Grillon
OPPEDE;43.827554;5.169231;4;1;Oppède
